Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"87/131 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149177040,1,1,1,0,1,perth,2025-10-01,,400000
"710/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148883528,2,2,0,77,2,perth,2025-10-01,,399
"1307/380 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148723824,1,1,1,44,1,perth,2025-10-01,,0
"524/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147647240,1,1,0,31,1,perth,2025-10-01,,224000
"64/128 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147818756,1,1,1,82,1,perth,2025-10-01,,499000
"129/15 Aberdeen Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147481544,1,1,1,0,1,perth,2025-10-01,,450000
"17/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147200528,1,1,1,47,1,perth,2025-10-01,,440000
"205/45 MALCOLM STREET, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-west+perth-146298148,0,1,0,0,1,perth,2025-10-01,,329000
"305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-146007640,0,1,0,31,1,perth,2025-10-01,,195000240000
"92/208 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-146247840,1,1,1,75,1,perth,2025-10-01,,485
"606/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-139597603,1,1,1,49,1,perth,2025-10-01,,300
"Address available on request, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-141144496,1,1,1,0,1,perth,2025-10-01,,0
"45/1 Sheen Street, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149169068,1,1,1,51,1,subiaco,2025-10-01,,525000
"12/124 Subiaco Road, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149102572,1,1,1,40,1,subiaco,2025-10-01,,425
"16/181 Oxford Street, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149199124,1,1,1,0,1,subiaco,2025-10-01,,400000
"30/124 Terrace Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-perth-149154320,1,1,0,33,1,subiaco,2025-10-01,,315000
"704/237 Adelaide Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149184044,1,1,1,63,1,subiaco,2025-10-01,,499000
"I11/125 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-148662272,2,1,1,59,2,subiaco,2025-10-01,,0
"212/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148640260,1,1,0,0,1,subiaco,2025-10-01,,269000
"47/11 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-wembley-149163236,2,1,1,0,2,subiaco,2025-10-01,,0
"402, 403 & 506/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-serviced+apartment-wa-perth-148752088,1,1,1,0,1,subiaco,2025-10-01,,350000450000
"220/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-perth-149026244,1,1,1,36,1,subiaco,2025-10-01,,239
"2/29 Hill Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149016120,1,1,0,0,1,subiaco,2025-10-01,,300
"9/71 Parry Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149129212,1,1,1,66,1,subiaco,2025-10-01,,0
"30/188 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149122256,2,2,1,82,2,subiaco,2025-10-01,,0
"14/101 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120252,1,1,1,46,1,subiaco,2025-10-01,,400
"617/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148484056,1,1,0,40,1,subiaco,2025-10-01,,289000
"206/451 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148727584,2,1,0,0,2,subiaco,2025-10-01,,400
"715/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148345360,1,1,0,0,1,subiaco,2025-10-01,,0
"5/60 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148706512,1,1,1,0,1,subiaco,2025-10-01,,500
"2018/380 MURRAY STREET, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148946932,1,1,0,0,1,subiaco,2025-10-01,,420000
"8/2 Bennelong Place, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149084492,2,1,1,60,2,subiaco,2025-10-01,,0
"42/4 Bulwer St, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149083812,2,1,1,0,2,subiaco,2025-10-01,,429000
"203/130A Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149069784,1,1,0,38,1,subiaco,2025-10-01,,370000
"43/33 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-142487332,1,1,0,0,1,subiaco,2025-10-01,,245000
"73/50-54 Cambridge Street, West Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+leederville-149195100,1,1,1,0,1,subiaco,2025-10-01,,450000
"9/37 Florence Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-west+perth-149179520,2,1,1,0,2,subiaco,2025-10-01,,500000
"111/45 Malcolm Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-147658644,1,1,0,33,1,subiaco,2025-10-01,,0
"6/160 St Georges Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148370128,1,1,0,25,1,subiaco,2025-10-01,,450
"7/93 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley-149187164,1,1,1,0,1,subiaco,2025-10-01,,349000
"1307/380 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148723824,1,1,1,44,1,subiaco,2025-10-01,,0
"524/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147647240,1,1,0,31,1,subiaco,2025-10-01,,224000
"129/15 Aberdeen Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147481544,1,1,1,0,1,subiaco,2025-10-01,,450000
"205/45 MALCOLM STREET, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-west+perth-146298148,0,1,0,0,1,subiaco,2025-10-01,,329000
"305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-146007640,0,1,0,31,1,subiaco,2025-10-01,,195000240000
